Hole Config,,Forearm,,,,,"Hole Config red is bottom, blue is top",,Upperarm,,,
,,Mass,Inertia,TopLength,BotLength,,"(red, blue hole, 1 is outer, 4 is inner)",,Mass,Inertia,TopLength,BotLength
87,,0.733,0.011,0.223,0.12,outermost,11,,0.817,0.0236,0.1834,0.1815
76,,0.722,0.01,0.213,0.11,,12,,0.799,0.018,0.1597,0.16
65,,0.711,0.008,0.203,0.101,,13,,0.777,0.0134,0.1371,0.1379
54,,0.701,0.007,0.1935,0.092,,14,,0.755,0.00947,0.1144,0.1155
43,,0.69,0.006,0.183,0.083,,21,,0.799,0.0187,0.1638,0.161
32,,0.679,0.005,0.1736,0.074,,22,,0.781,0.01399,0.14,0.1398
21,,0.669,0.004,0.1636,0.065,,23,,0.7595,0.00989,0.1174,0.1175
,,,,,,,24,,0.73756,0.00656,0.09479,0.09521
,,,,,,,31,,0.78,0.01397,0.1419,0.138
,,,,,,,32,,0.762,0.00996,0.118,0.1166
,,,,,,,33,,0.7403,0.0066,0.09558,0.0944
,,,,,,,34,,0.7183,0.00398,0.0728,0.722
,,,,,,,41,,0.75789,0.01024,0.121,0.1186
,,,,,,,42,,0.74,0.00689,0.0979,0.09709
,,,,,,,43,,0.718,0.00421,0.07521,0.07479
,,,,,,,44,,0.69609,0.00224,0.0525,0.0525
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Config #,,Body,,,,,,,,,,
,,Mass,Inertia,TopLength,BotLength,,,,,,,
1,,,,,,,,,,,,
